NAME	TITLE	SCORE	
PTX3	na	0.45702165	
ELP4	na	0.45615306	
NCAPD2	na	0.45565152	
AXL	na	0.45563728	
ULK2	na	0.4554638	
BCL7A	na	0.45528546	
SAP30	na	0.45482427	
QPRT	na	0.454051	
CXCL2	na	0.45271823	
SGMS1	na	0.4526327	
PCBD1	na	0.45191884	
SSBP2	na	0.4511488	
GPER	na	0.45107928	
TERF2	na	0.45015875	
KNTC1	na	0.4496566	
TNFRSF1A	na	0.44900647	
HS2ST1	na	0.4478446	
C18orf10	na	0.44695148	
XRCC2	na	0.4469325	
VAMP1	na	0.44641995	
IGFBP2	na	0.44624788	
GALK1	na	0.44436035	
SDC4	na	0.4442786	
GDPD5	na	0.44345942	
RYR1	na	0.4407289	
CCNF	na	0.44050387	
TNFAIP2	na	0.43916	
CSTA	na	0.43865773	
RFC3	na	0.43754506	
SCARB1	na	0.437016	
HBB	na	0.43558788	
RRM1	na	0.43508652	
CD3G	na	0.43381146	
MMACHC	na	0.43347046	
PFN2	na	0.43319723	
CEP152	na	0.43232992	
TMPO	na	0.4310814	
SLC1A4	na	0.4309355	
CCL7	na	0.4307651	
STK39	na	0.43016472	
NFE2L3	na	0.42939883	
MYBL2	na	0.4290239	
EHHADH	na	0.42860368	
SMARCA4	na	0.42677158	
HIP1	na	0.4261816	
GLUL	na	0.42608982	
HIST1H3I	na	0.42327338	
SLC25A17	na	0.42081773	
FYB	na	0.42005175	
RAP2A	na	0.4192802	
ZKSCAN5	na	0.41908035	
BCL6	na	0.41809905	
LOXL1	na	0.41804293	
UGT2B7	na	0.4178484	
MEST	na	0.41768613	
BZRAP1	na	0.41705418	
LMO2	na	0.41681418	
MGST2	na	0.41598287	
DZIP1	na	0.4159072	
COL9A3	na	0.41560146	
CD247	na	0.41499114	
CXCL12	na	0.4119257	
ANKRD26	na	0.4114205	
CFP	na	0.41033047	
SPINK2	na	0.41025475	
TP53I3	na	0.4101324	
ST7	na	0.40984085	
PTN	na	0.40982947	
NDUFB6	na	0.40964663	
PASK	na	0.409606	
MCM7	na	0.40956363	
PTPRD	na	0.40882236	
ANK3	na	0.4087397	
KCNS3	na	0.40697446	
BMPR1A	na	0.40581924	
TMSB15A	na	0.40498424	
PRSS3	na	0.4049194	
LAMP3	na	0.40364778	
PSIP1	na	0.3998641	
PFKFB4	na	0.39928094	
TNFSF11	na	0.39856228	
HMGB2	na	0.39529264	
WEE1	na	0.39367452	
UBE2J1	na	0.39274535	
ALDH2	na	0.3925721	
ZNF804A	na	0.3919763	
DNMT1	na	0.39194146	
APITD1	na	0.391894	
MET	na	0.3917074	
EMR1	na	0.38994923	
ICOS	na	0.38923457	
GAP43	na	0.38868764	
SLPI	na	0.3885815	
TST	na	0.38850698	
CKS2	na	0.38788557	
IL9	na	0.38787094	
C10orf10	na	0.38604894	
PI3	na	0.38477787	
SCHIP1	na	0.38471663	
CLIC5	na	0.38463062	
CKS1B	na	0.38430128	
CHI3L1	na	0.38213643	
LRIG1	na	0.38193056	
SMTN	na	0.38127258	
MAOA	na	0.38088858	
CHRNA5	na	0.38011712	
RLN2	na	0.37931675	
CD80	na	0.37901935	
BGLAP	na	0.37890008	
TUBB2C	na	0.3777124	
PHLDA2	na	0.37758583	
CXCL13	na	0.37589586	
SLBP	na	0.3758666	
PLAUR	na	0.3750878	
ICMT	na	0.37495053	
FOS	na	0.3748598	
ACYP1	na	0.37207025	
POLA2	na	0.37098324	
RNF19B	na	0.37060836	
MAFF	na	0.36849803	
NPTX1	na	0.36786833	
TIMP4	na	0.36776742	
FADS2	na	0.36775324	
PTGER1	na	0.3677352	
MFHAS1	na	0.36713055	
SAMHD1	na	0.36670998	
LOC100292444	na	0.3658192	
IMPA2	na	0.36539802	
IGJ	na	0.36450347	
ANP32E	na	0.36421522	
ARHGAP29	na	0.3631569	
FOXC1	na	0.36248815	
BTN1A1	na	0.36224648	
ITGA6	na	0.36187306	
LMNB2	na	0.3615763	
LYZ	na	0.36157402	
PTPRG	na	0.36146745	
TSC1	na	0.36131835	
PIAS3	na	0.36129525	
NCAPD3	na	0.36097115	
CLGN	na	0.36062756	
MFGE8	na	0.36050296	
KEAP1	na	0.3602592	
SEMA3C	na	0.35927093	
GZMM	na	0.35892543	
TACSTD2	na	0.3588437	
STAU2	na	0.35877767	
PLK1	na	0.35821205	
SLC20A1	na	0.35777703	
TTF2	na	0.35768524	
MMP8	na	0.3574897	
GREB1	na	0.3573783	
KDM5D	na	0.3571408	
SLC25A16	na	0.35656333	
PRPSAP2	na	0.35526532	
TMEM194A	na	0.35450265	
AHR	na	0.3540597	
OASL	na	0.35314566	
TBC1D4	na	0.3531045	
LIG1	na	0.35269633	
MSH6	na	0.35267374	
CX3CR1	na	0.3525838	
DTYMK	na	0.35256872	
CCR2	na	0.3518475	
TERT	na	0.35140958	
KLRG1	na	0.351364	
CP110	na	0.35057598	
ENPP1	na	0.34840882	
TENC1	na	0.34805134	
APBB2	na	0.34798804	
CKAP5	na	0.34750572	
CTAG2	na	0.3470376	
CDC7	na	0.34703198	
PCNT	na	0.3467687	
TRIP10	na	0.34659192	
LIMS1	na	0.34655783	
LIMCH1	na	0.34648716	
SPARCL1	na	0.3464577	
B9D1	na	0.34496453	
UBE2G1	na	0.34361398	
HSD17B6	na	0.34260145	
PRDX2	na	0.34231648	
CORO2A	na	0.3421087	
GAS1	na	0.34061587	
GRHPR	na	0.33986035	
MPP1	na	0.3398372	
BLVRA	na	0.33890456	
CD70	na	0.33818474	
ELOVL6	na	0.33710316	
SIAH2	na	0.3367817	
PIK3CD	na	0.3361042	
GPR171	na	0.33556613	
RAD51C	na	0.33386037	
DST	na	0.33309838	
ACP2	na	0.33306426	
FEN1	na	0.33283278	
PRKCI	na	0.33254218	
MCM6	na	0.33121642	
PRELP	na	0.3309337	
TNFRSF21	na	0.32895008	
PDCL	na	0.3287081	
RECQL4	na	0.32855734	
CBX4	na	0.3283093	
EFR3B	na	0.3277826	
TMEM106C	na	0.32728487	
CUX1	na	0.3270386	
MLH1	na	0.32579768	
LILRA2	na	0.32543957	
KLRD1	na	0.32429928	
CRTAM	na	0.32423124	
HIST1H2AI	na	0.3225208	
LRRC23	na	0.32203433	
ST14	na	0.3218364	
MAPK10	na	0.3217298	
GYG2	na	0.32151672	
ANPEP	na	0.32111984	
AFF2	na	0.32093284	
PAPSS1	na	0.32070285	
CXADR	na	0.3204874	
CTTN	na	0.32001895	
LGALS2	na	0.31981462	
SNTA1	na	0.31978616	
C11orf41	na	0.31956008	
CPA3	na	0.31901324	
RIMBP2	na	0.3189309	
C13orf27	na	0.318296	
KIAA0368	na	0.3178257	
CUX2	na	0.31768766	
RPS4Y1	na	0.317669	
PPARG	na	0.31731972	
CCL20	na	0.3169572	
STC2	na	0.31394428	
PRKCD	na	0.31363747	
XCL2	na	0.31353346	
RIMS3	na	0.31173575	
TBR1	na	0.31165203	
EYA4	na	0.3111663	
GPC1	na	0.3106884	
COX11	na	0.31058353	
H1F0	na	0.3102568	
RRBP1	na	0.31020558	
GSTA4	na	0.30955213	
H2AFV	na	0.3092082	
IL7R	na	0.30816188	
PRSS53	na	0.30755478	
PLA2G4A	na	0.30712202	
DBF4	na	0.30657598	
PMVK	na	0.3063453	
SEPT10	na	0.30591375	
NEK3	na	0.30516005	
DSG2	na	0.30406702	
B4GALT2	na	0.30332094	
KLF12	na	0.30328703	
PDZD2	na	0.30291605	
PTGER2	na	0.30283108	
CLCNKA	na	0.30255222	
FABP5	na	0.30232316	
F2R	na	0.302116	
COMMD4	na	0.30211544	
UNG	na	0.30208066	
PRDX3	na	0.30124187	
PFKM	na	0.3011791	
MYO1E	na	0.30105954	
SLC7A5	na	0.3002181	
SRD5A1	na	0.3002169	
TIMELESS	na	0.2993738	
BRWD1	na	0.2989696	
SH3BGR	na	0.29862168	
LSR	na	0.29848725	
CPNE3	na	0.29834464	
ARHGAP19	na	0.29803994	
ITGAE	na	0.29635337	
AQP3	na	0.29619583	
PSMG1	na	0.29597548	
CD2	na	0.29562125	
CSTF2	na	0.29548854	
S100A13	na	0.29524305	
DOCK4	na	0.2951849	
RASGRP3	na	0.29393896	
LPHN3	na	0.29365495	
PARP2	na	0.2935113	
BCAT1	na	0.293026	
C11orf49	na	0.29295462	
HSPB2	na	0.2928315	
SKP2	na	0.29269573	
TUBB2B	na	0.29124343	
MDFIC	na	0.29104608	
PIK3R2	na	0.29001242	
FAM131A	na	0.28955504	
CLTC	na	0.28942323	
SLC16A4	na	0.2893972	
SMS	na	0.28938442	
CYP26A1	na	0.28898486	
SLC25A4	na	0.28833312	
PVALB	na	0.28816476	
EPX	na	0.2879148	
FUCA1	na	0.28780445	
ZNF710	na	0.28734842	
ATP2A2	na	0.28698465	
CD86	na	0.28618583	
DHCR24	na	0.28614756	
CXCL10	na	0.28568715	
MYL6B	na	0.28561914	
C19orf6	na	0.28544447	
SPRR1B	na	0.28524908	
SRGN	na	0.28466913	
TFR2	na	0.2840519	
PTS	na	0.28401318	
COQ9	na	0.2838354	
FANCL	na	0.28381568	
DGKZ	na	0.28380552	
GUCY1A3	na	0.28374287	
PCNA	na	0.283688	
VGLL4	na	0.28360108	
IDE	na	0.28359628	
GYS2	na	0.28309438	
CILP	na	0.282849	
DNM1L	na	0.282355	
HIRIP3	na	0.28225	
PTAFR	na	0.2817075	
FLOT1	na	0.28170002	
OSBPL3	na	0.28158304	
TNFAIP6	na	0.28155908	
IDH2	na	0.28100374	
GOT2	na	0.2809897	
TRAIP	na	0.28053275	
CDK19	na	0.28021348	
MVD	na	0.27966276	
BCL2L11	na	0.27894074	
BTG3	na	0.2787827	
INSM1	na	0.2786679	
KIAA0649	na	0.27845514	
LRMP	na	0.27843514	
GPR125	na	0.27756038	
MPDU1	na	0.27741882	
SSFA2	na	0.27741647	
PRDX6	na	0.276964	
ITGB1	na	0.27645102	
RFC4	na	0.2764226	
H2AFZ	na	0.27556488	
MT1G	na	0.27521086	
MYH10	na	0.27515447	
ST20	na	0.27458525	
APBA2	na	0.27409375	
ATF5	na	0.2734983	
WRB	na	0.27309895	
MTX2	na	0.27305695	
PPPDE1	na	0.27289674	
CHGA	na	0.27280325	
MTHFD2	na	0.27266306	
LAG3	na	0.2723435	
MCM2	na	0.27199766	
TNFRSF17	na	0.2719035	
PROM1	na	0.27135694	
SEMA3A	na	0.27017927	
LMO4	na	0.27003318	
ENPEP	na	0.26997238	
ATP2A1	na	0.2695223	
MAB21L1	na	0.26894394	
HIST1H4C	na	0.2686592	
ADCY1	na	0.2684964	
GABARAPL1	na	0.26835543	
BID	na	0.26794165	
CD163	na	0.2678099	
FAM5C	na	0.26769084	
SOCS1	na	0.2670618	
ANXA5	na	0.26668277	
BNIP3	na	0.26640657	
PMM1	na	0.2659947	
SOS1	na	0.26560268	
GNB3	na	0.26474577	
MAP2K6	na	0.26458982	
PCCB	na	0.26434925	
POLA1	na	0.26432735	
RFC1	na	0.2642939	
ASMT	na	0.26282486	
PPAP2A	na	0.26275757	
RCOR1	na	0.26265514	
PTPN13	na	0.26229775	
NCKAP1	na	0.26161286	
LEFTY2	na	0.26149195	
MYH11	na	0.26097444	
CACNA1F	na	0.26079306	
DEFA4	na	0.2606523	
CYP24A1	na	0.25946093	
R3HDM1	na	0.25924912	
MTHFS	na	0.25909936	
BCL2A1	na	0.2589926	
COPS8	na	0.25893912	
FGFR1OP	na	0.25838438	
GMDS	na	0.25803602	
PSMD14	na	0.2576743	
NOL4	na	0.25684777	
NFYB	na	0.25664866	
H2AFY	na	0.25662175	
TRIM24	na	0.25626558	
MSH2	na	0.25623077	
TBC1D12	na	0.25621736	
COX17	na	0.256005	
POU3F1	na	0.25549057	
TKT	na	0.25542802	
PDZRN3	na	0.25516695	
ELK3	na	0.25487292	
ZFY	na	0.25409755	
PDE4D	na	0.25376043	
SCRN1	na	0.2534827	
CFHR3	na	0.25321683	
MXD1	na	0.25285205	
GNAZ	na	0.25281706	
RGS3	na	0.25238848	
COMP	na	0.25218356	
SMAP1	na	0.2519091	
ENOSF1	na	0.25178885	
ETFDH	na	0.2507612	
EYA2	na	0.25073507	
PNMA2	na	0.250581	
CDK2AP1	na	0.2502397	
NELL2	na	0.249841	
TRIM14	na	0.24971747	
TSC22D1	na	0.24962536	
NCBP1	na	0.24959165	
B3GNT1	na	0.2487722	
MED8	na	0.24864253	
GALE	na	0.24855524	
CBX5	na	0.24827869	
AMH	na	0.24824603	
SH2B2	na	0.24813394	
NDUFS6	na	0.24807112	
