NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	35		
KEGG_PATHWAYS_IN_CANCER	325	206		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28		Rejected!	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	18		
KEGG_PEROXISOME	78	42		
KEGG_PHENYLALANINE_METABOLISM	18		Rejected!	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	51		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	19		
KEGG_PPAR_SIGNALING_PATHWAY	69	39		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_PRIMARY_IMMUNODEFICIENCY	35	27		
KEGG_PRION_DISEASES	35	23		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	58		
KEGG_PROPANOATE_METABOLISM	33	21		
KEGG_PROSTATE_CANCER	89	65		
KEGG_PROTEASOME	46	37		
KEGG_PROTEIN_EXPORT	24		Rejected!	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23		Rejected!	
KEGG_PURINE_METABOLISM	159	84		
KEGG_PYRIMIDINE_METABOLISM	98	58		
KEGG_PYRUVATE_METABOLISM	40	25		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	117		
KEGG_REGULATION_OF_AUTOPHAGY	35		Rejected!	
KEGG_RENAL_CELL_CARCINOMA	70	47		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_RETINOL_METABOLISM	64	18		
KEGG_RIBOFLAVIN_METABOLISM	16		Rejected!	
KEGG_RIBOSOME	88	73		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	36		
KEGG_RNA_DEGRADATION	59	25		
KEGG_RNA_POLYMERASE	29	17		
KEGG_SELENOAMINO_ACID_METABOLISM	26		Rejected!	
KEGG_SMALL_CELL_LUNG_CANCER	84	63		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	24		
KEGG_SPHINGOLIPID_METABOLISM	39	16		
KEGG_SPLICEOSOME	127	88		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	18		
KEGG_STEROID_BIOSYNTHESIS	17		Rejected!	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	17		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	33		
KEGG_TASTE_TRANSDUCTION	52		Rejected!	
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15		Rejected!	
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	55		
KEGG_THYROID_CANCER	29	23		
KEGG_TIGHT_JUNCTION	132	69		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	63		
KEGG_TRYPTOPHAN_METABOLISM	40	25		
KEGG_TYPE_II_DIABETES_MELLITUS	47	23		
KEGG_TYPE_I_DIABETES_MELLITUS	43	27		
KEGG_TYROSINE_METABOLISM	42	19		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	82		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	86		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	35		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	61		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	32		
KEGG_VEGF_SIGNALING_PATHWAY	76	49		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	38		
KEGG_VIRAL_MYOCARDITIS	70	44		
KEGG_WNT_SIGNALING_PATHWAY	151	87		
