NAME	TITLE	SCORE	
COX11	na	0.36689356	
AFF2	na	0.36661646	
STX2	na	0.36650887	
KLRB1	na	0.3661752	
CCL15	na	0.36612144	
PRPSAP2	na	0.36597523	
LPHN3	na	0.36305016	
ENPP1	na	0.36090654	
NFIB	na	0.36086237	
LMNA	na	0.3605901	
ANXA5	na	0.36032188	
PDE9A	na	0.36024526	
KLRG1	na	0.3586423	
NCKAP1	na	0.35851893	
LIMS1	na	0.35834688	
PAPSS1	na	0.3583036	
GNB3	na	0.35712013	
TBC1D4	na	0.35614637	
COL4A6	na	0.35552323	
NUCB2	na	0.35540408	
TBC1D12	na	0.35484922	
RASGRP1	na	0.35472053	
S100A13	na	0.3545892	
TNFAIP2	na	0.3542727	
BTG3	na	0.35411435	
GRHPR	na	0.35268602	
RIMBP2	na	0.35212314	
CDC42EP4	na	0.35208458	
UNG	na	0.3520515	
MMP8	na	0.3508969	
RYR1	na	0.35073218	
CD5L	na	0.34952852	
TK2	na	0.34943545	
CKAP5	na	0.34859204	
CDC25B	na	0.34833762	
RAD51C	na	0.3474967	
BNIP3	na	0.34662566	
PLA2G16	na	0.3448694	
GSTA4	na	0.34424937	
MTHFS	na	0.34300187	
CDC7	na	0.34234458	
GSTT1	na	0.34142244	
IMPA2	na	0.34129554	
RASGRP3	na	0.34123993	
ARNT2	na	0.3412301	
DHCR24	na	0.33987063	
KEAP1	na	0.3397132	
FEN1	na	0.33910888	
BCL2A1	na	0.33870333	
MLH1	na	0.33665	
TMEM106C	na	0.33651063	
ITGAE	na	0.3364913	
WASF1	na	0.33623567	
GDPD5	na	0.3361001	
ZCCHC14	na	0.33597368	
SLC16A4	na	0.33567083	
AMPD1	na	0.33561713	
LMNB2	na	0.33490855	
PMVK	na	0.33314174	
HIST1H4C	na	0.33257797	
FCER1G	na	0.3317577	
CCL7	na	0.33122453	
VRK1	na	0.33110255	
CP110	na	0.33109227	
NFE2L3	na	0.33057454	
CXCR6	na	0.33052832	
ACYP1	na	0.33040002	
SOS1	na	0.32960802	
ITGB1	na	0.32853335	
COL16A1	na	0.3282287	
ELOVL6	na	0.32819906	
IGFBP2	na	0.3277023	
FAM5C	na	0.32712632	
ARG1	na	0.32677507	
SH3BGR	na	0.32675815	
SCRN1	na	0.32643366	
PTGER1	na	0.3264128	
CX3CR1	na	0.3263816	
INSR	na	0.32623988	
MDFIC	na	0.32592976	
SMAD5	na	0.32508996	
COX17	na	0.3244857	
TMEFF1	na	0.32426652	
BZRAP1	na	0.32420534	
